grid_cell,X_ELEMENT_,X_Axis_0_,X_Axis_1_,X_ENDC_CWE_,X_ENDC_RICHNESS_,Total_Specimens,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,geometry
0,'-352500:442500',-352500,442500,0.010109402,5,6,11.905016899108887,15.920408248901367,8.288775444030762,2019,339,12,73.89717864990234,970,80,94,922,9.487244606018066,54.168609619140625,315.65313720703125,21.302040100097656,3.787755012512207,17.514286041259766,8.613605499267578,15.564285278320312,"list(c(-124.328166971947, -124.158959450575, -124.158959450575, -124.328166971947, -124.328166971947, 41.8619025231482, 41.8619025231482, 41.9970376582833, 41.9970376582833, 41.8619025231482))"
1,'-337500:442500',-337500,442500,0.002601415,2,2,11.510624885559082,16.85333251953125,7.203333377838135,2058,364,10,78.50408935546875,1030,67,83,971,11.799583435058594,53.215999603271484,401.6295166015625,24.764999389648438,2.5920000076293945,22.17300033569336,7.542666435241699,16.287166595458984,"list(c(-124.14781574832, -123.978608226948, -123.978608226948, -124.14781574832, -124.14781574832, 41.8678277239352, 41.8678277239352, 42.0029628590703, 42.0029628590703, 41.8678277239352))"
2,'-307500:442500',-307500,442500,0.008764674,7,29,10.619500160217285,17.37649917602539,4.941666603088379,1607,295,9,80.8369369506836,833,54,67,785,14.054166793823242,50.8030891418457,513.9271240234375,27.992000579833984,0.328000009059906,27.66400146484375,5.252500057220459,17.066999435424805,"list(c(-123.787026312308, -123.617818790935, -123.617818790935, -123.787026312308, -123.787026312308, 41.8789067281852, 41.8789067281852, 42.0140418633204, 42.0140418633204, 41.8789067281852))"
3,'-292500:442500',-292500,442500,0.026996016,28,265,8.605250358581543,15.447833061218262,3.3554999828338623,1544,278,12,76.134613037109375,778,67,76,729,13.427000045776367,50.02608108520508,504.677490234375,25.562000274658203,-1.277999997138977,26.84000015258789,3.7888333797454834,14.911999702453613,"list(c(-123.606590699127, -123.437383177754, -123.437383177754, -123.606590699127, -123.606590699127, 41.8840603996971, 41.8840603996971, 42.0191955348322, 42.0191955348322, 41.8840603996971))"
4,'-262500:442500',-262500,442500,0.041457915,44,134,8.72541618347168,16.126333236694336,2.757999897003174,1107,198,11,72.77892303466797,552,60,63,515,14.398500442504883,49.151702880859375,556.98193359375,27.097000122070312,-2.197000026702881,29.29400062561035,3.194499969482422,15.741999626159668,"list(c(-123.245644189237, -123.076436667865, -123.076436667865, -123.245644189237, -123.245644189237, 41.8935957743605, 41.8935957743605, 42.0287309094956, 42.0287309094956, 41.8935957743605))"
5,'-247500:442500',-247500,442500,0.107481388,11,27,6.648916721343994,14.114666938781738,0.8734999299049377,1273,219,14,69.23624420166016,612,74,76,571,13.417166709899902,47.49607467651367,554.26849365234375,24.295000076293945,-3.9539999961853027,28.249000549316406,1.3789998292922974,13.554666519165039,"list(c(-123.065135898549, -122.895928377177, -122.895928377177, -123.065135898549, -123.065135898549, 41.8979773637779, 41.8979773637779, 42.033112498913, 42.033112498913, 41.8979773637779))"
6,'-232500:442500',-232500,442500,0.031410975,9,24,8.632874488830566,16.72800064086914,1.6451666355133057,813,142,11,67.88543701171875,396,54,54,366,14.911749839782715,47.056549072265625,623.8330078125,28.08799934387207,-3.6010000705718994,31.68899917602539,2.112833261489868,16.72800064086914,"list(c(-122.884605989743, -122.715398468371, -122.715398468371, -122.884605989743, -122.884605989743, 41.9021014838408, 41.9021014838408, 42.0372366189759, 42.0372366189759, 41.9021014838408))"
7,'-217500:442500',-217500,442500,0.013955438,9,26,9.68375015258789,18.305999755859375,1.909000039100647,611,105,10,63.95991134643555,293,47,47,267,15.719666481018066,46.09197235107422,676.6519775390625,30.261999130249023,-3.8429999351501465,34.10499954223633,2.317000150680542,18.305999755859375,"list(c(-122.704055768291, -122.534848246918, -122.534848246918, -122.704055768291, -122.704055768291, 41.9059680853057, 41.9059680853057, 42.0411032204409, 42.0411032204409, 41.9059680853057))"
8,'-202500:442500',-202500,442500,0.043478261,1,1,11.169625282287598,20.405166625976562,2.8980000019073486,519,86,9,60.47141647338867,244,44,44,218,16.77924919128418,45.95292282104492,724.33953857421875,32.965999603271484,-3.5480000972747803,36.513999938964844,3.191166639328003,20.405166625976562,"list(c(-122.523486540546, -122.354279019174, -122.354279019174, -122.523486540546, -122.523486540546, 41.9095771219865, 41.9095771219865, 42.0447122571217, 42.0447122571217, 41.9095771219865))"
9,'-187500:442500',-187500,442500,0.133221821,11,15,9.532166481018066,18.47916603088379,1.5145000219345093,523,87,9,59.59358596801758,242,43,43,217,15.989500045776367,45.283206939697266,700.5601806640625,30.628000259399414,-4.682000160217285,35.310001373291016,1.9568332433700562,18.47916603088379,"list(c(-122.342899613692, -122.173692092319, -122.173692092319, -122.342899613692, -122.342899613692, 41.9129285507581, 41.9129285507581, 42.0480636858932, 42.0480636858932, 41.9129285507581))"
